hours,Asx,Glx,Ser,L-Thr,L-His,Gly,L-Arg,Ala,Tyr,Val,Phe,Leu,Ile
1.0,5273.420169413127,5583.39516327302,2996.13856882244,1604.2151210734135,1710.0618364415798,7432.83574366447,2426.3411595602565,4615.426483185706,819.919941712764,2466.94559122964,2209.69257185356,4426.01875300964,2700.9363876870934
2.0,6216.756505030913,6611.980294838053,3258.4659541774367,1755.6431687430202,1957.0179233128636,8425.640808952287,2698.372886632073,5437.49568800081,1139.8113112396338,2897.1599510700166,2591.9323158590937,5217.493720059937,3178.13888192834
4.0,5535.066050201397,5978.544207893963,2660.2627274348533,1415.70161548726,1691.9375963303235,8019.58124833577,2326.0709208123467,5063.310630498703,1062.69645023824,2606.782431467603,2354.72921145831,4831.485692701052,2925.65380875122
6.0,6354.387084735657,6964.481462887947,2877.37498570481,1531.2938935835634,1712.61203898304,7872.616582428433,2479.9017374709433,5906.50310277427,1305.7911917296333,3083.1276241863034,2779.5923760975934,5618.569761939417,3400.060397674783
8.0,5046.8401526417965,5644.170817978644,2217.361914902807,1202.57909545649,1274.4871279915267,6551.98151680714,2068.4708752379797,5025.267330148907,759.3000235296807,2529.9312985698666,2254.926733973993,4810.229358066276,2759.7878902555804
24.0,4701.675663306587,5811.468893902574,1308.1669573810766,842.5080175998966,937.619376570805,6455.2806859518305,1555.36112128553,5510.83822963062,829.0679359424211,2594.1955303040936,2329.67210122824,5138.912949353687,2861.970313458414
48.0,3756.5124381524033,5320.626267412493,570.188875774366,472.98530947247065,631.1895163888636,5419.690535686847,1004.449615887614,5337.513116086357,585.4989176980021,2305.5012531604934,2071.7520426849865,4598.445810292141,2555.0712830053067
72.0,3371.7809096052165,5607.467437146007,303.80129687292634,362.1439794522783,542.0907294644734,5578.55482904525,803.7946153886514,5848.079969017187,890.8315535883086,2427.86662466676,2133.5862838392068,4892.141812721157,2685.0003021497064
96.0,2639.4275617479766,4940.652326136436,136.63109153617768,244.13856983634665,420.02730557788,4776.73093377019,574.782438022244,5293.62132066539,698.5687604577356,2107.6803297584265,1814.7864465152,4337.332465303293,2340.032982247327
120.0,2693.1917473700432,5876.933053988304,113.64984157032761,198.66852022671733,603.139605835425,6049.426511600844,506.457361730556,6261.579560467453,841.3693490044913,2394.018388586867,2040.6076638425232,4425.321065491554,2632.670715880123
